,Patrick C,Heather,Bryan,Patrick T,Thomas,Aaron,Vanessa,Greg,Brian,Ben,Katherine,Jonathan,Zwe,Erin,Chris,Zak,Matt,Chris T,Josh,Amy,Valerie,Gary,Stephen,Jessica,Jeff,Zak1,Panchode
Alien,5,0,2,0,5,4,0,0,4,0,0,0,0,0,2,0,0,4,3,0,0,2,5,0,4,0,0
Avatar,2,5,5,4,2,0,4,3,0,3,5,4,4,4,1,5,0,0,4,3,2,1,4,0,4,0,0
Blade Runner,3,0,0,0,5,4,0,1,5,5,0,0,0,0,5,0,0,3,0,3,3,1,0,0,5,0,0
Braveheart,3,0,5,0,4,4,3,4,4,0,3,4,3,4,2,5,0,4,5,3,4,5,5,0,4,0,0
Dodgeball,3,4,3,2,4,0,4,5,3,4,5,5,3,3,3,3,0,3,0,4,3,4,3,0,3,0,0
Forest Gump,5,5,4,3,3,0,4,5,5,5,5,5,5,5,3,5,4,5,4,4,5,4,1,4,4,0,0
Gladiator,3,5,5,0,4,4,4,5,5,5,3,4,3,0,3,5,0,3,4,0,3,3,4,0,4,0,0
Jaws,5,5,4,0,4,0,2,3,3,1,0,3,2,3,2,0,0,5,5,3,2,4,2,3,5,0,0
Kazaam,2,0,3,5,2,0,0,0,1,0,2,2,2,1,1,1,0,0,0,1,1,1,0,1,1,0,0
Lord of the Rings,4,4,3,2,0,5,2,3,5,2,4,4,3,4,3,4,1,4,0,0,5,3,5,3,3,0,0
Napolean Dynamite,3,4,1,1,5,1,4,4,4,4,2,3,3,2,1,1,3,1,1,2,5,4,2,2,3,0,0
Old School,3,0,4,5,5,0,3,5,4,4,0,5,4,0,5,5,0,4,0,3,3,5,0,2,3,0,0
Pootie Tang,0,0,1,1,0,0,1,0,1,1,0,0,2,0,3,0,0,1,0,0,0,0,0,0,5,0,0
Pulp Fiction,0,0,4,0,4,3,0,4,5,4,0,5,4,0,5,5,0,5,0,4,3,3,3,4,3,0,0
Scarface,5,4,0,0,5,4,4,4,0,4,0,4,0,0,3,3,0,2,0,0,4,3,0,0,0,0,0
Shawshank Redemption,5,0,5,0,0,5,0,5,5,5,0,0,4,0,4,0,0,4,0,2,5,5,0,0,0,0,0
Snakes On a Plane,4,1,2,0,4,0,0,0,3,2,0,0,1,0,3,0,1,3,0,2,1,2,0,2,1,0,0
Spiderman,4,3,4,4,5,3,0,4,4,4,5,3,4,3,2,3,3,2,4,3,5,2,3,3,4,0,0
Star Wars,5,5,4,5,5,3,3,5,5,5,5,5,4,3,4,5,0,5,5,0,5,5,5,5,5,0,0
The Dark Knight,4,5,5,4,4,0,0,4,4,5,0,5,5,0,3,5,0,4,4,4,5,0,4,5,5,0,0
The Happening,1,0,0,0,1,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0
The Matrix,3,4,3,5,4,4,4,4,5,4,4,5,4,4,4,5,0,2,5,5,4,2,5,0,5,0,0
Toy Story,4,3,3,4,4,5,4,5,5,5,5,5,4,5,3,4,4,4,5,4,5,4,4,5,5,0,4
Village,5,2,3,1,1,0,2,0,4,3,0,0,4,0,3,4,0,1,4,0,2,0,2,0,2,0,0
You've Got Mail,3,0,1,1,1,3,0,0,3,0,0,2,2,0,0,5,0,1,0,2,2,1,2,0,1,0,0